0,1,phone,cluster_id,word
-21.31365,5.477737,,4,
-29.603474,3.2439837,,4,
-32.87217,1.3439395,,4,
-32.39855,-1.69386,,4,
-22.12006,0.5562998,,4,
-11.8301735,-0.54660934,,4,
-7.6443257,-0.36676314,,4,
8.178469,2.420248,,14,
17.31423,4.4996214,l,12,lawn
20.287643,3.4637263,l,13,lawn
22.854486,3.117548,l,13,lawn
37.81315,0.56863135,,11,lawn
38.532013,0.4718408,a,3,lawn
39.111958,0.58910567,a,3,lawn
39.651325,0.4803099,a,3,lawn
39.258347,-0.07420465,a,3,lawn
39.94107,-0.27191845,a,3,lawn
40.212273,-0.74264795,a,3,lawn
39.32641,-0.8351769,a,3,lawn
38.551155,-1.0234456,a,3,lawn
38.043995,-1.396051,a,11,lawn
37.69153,-1.9477983,,11,lawn
36.737297,-2.6871738,n,11,lawn
20.755684,-0.3009145,n,9,lawn
18.892723,-1.3172928,n,9,lawn
19.366333,-1.48013,n,9,lawn
20.239162,-1.0325469,n,9,lawn
20.11695,-1.4407457,n,9,lawn
18.72915,-2.2843442,,9,
13.509545,-1.1845217,,5,
11.892451,-1.1275326,,5,
10.24609,-1.447823,,5,
8.064907,-1.9617261,,14,
6.499052,-2.5043387,,8,
0.6305566,-3.2669084,,8,
-0.09661574,-2.610071,,8,
-2.1405644,-1.8548077,,8,
-6.724949,0.7618976,,4,
-23.816916,-3.4918158,,4,
-23.830631,-1.8632284,,4,
-28.959675,-0.5981989,,4,
-25.468447,-2.2433426,,4,
-31.151608,0.34196365,,4,
-27.717398,4.4073496,,4,
-31.70605,2.0210836,,4,
-33.04627,0.18935847,,4,
-29.126217,2.527362,,4,
-23.213001,2.7688534,,4,
-31.0179,3.5663624,,4,
-36.0222,1.7918727,,4,
-36.279427,2.0150325,,4,
-22.26586,2.1788707,,4,
-21.877449,2.8921096,,4,
-12.832847,-3.7427402,,1,
13.376257,4.2784877,,14,
16.77041,4.366277,l,12,lean
18.277323,3.8863022,l,12,lean
18.980782,3.7155228,l,12,lean
22.001276,2.8254614,,13,lean
36.62789,-1.0071096,i,11,lean
35.978687,0.49672332,i,11,lean
34.605232,1.3896587,i,0,lean
33.244102,1.8699216,i,0,lean
32.589176,2.7257588,i,0,lean
32.26737,2.1130068,i,0,lean
31.808243,1.5816298,i,0,lean
31.159649,1.5170258,i,0,lean
30.606236,1.0868171,i,0,lean
29.638842,0.97091645,i,6,lean
28.86743,1.2371334,i,6,lean
28.133295,1.1161212,,6,lean
25.741829,0.5567858,n,6,lean
19.17196,-0.4480211,n,9,lean
17.950195,-0.7473939,n,9,lean
18.60403,-0.8509625,,9,
18.153978,-1.3198781,,9,
13.325719,0.028852068,,5,
12.369337,-0.20360962,,5,
11.507329,-0.53240883,,5,
9.898927,-0.9945933,,5,
6.976669,-1.6029991,,14,
5.741807,-2.281389,,8,
0.34867665,-4.239296,,8,
-0.60505134,-3.4989374,,8,
-2.7532434,-2.4361906,,8,
-6.796636,-1.4015621,,4,
-7.6791778,-0.852289,,4,
-10.601599,-0.58616847,,4,
-14.541857,-1.5363858,,4,
-15.786261,-1.3421022,,4,
-24.76134,-2.969974,,4,
-24.210827,-1.7772189,,4,
-23.045216,3.5371487,,4,
-27.914186,5.050108,,4,
-30.806084,-0.4113028,,4,
-25.191938,-2.1590943,,4,
-33.982304,-3.72937,,4,
-33.400043,-3.6648762,,4,
-32.34184,-1.0406685,,4,
-29.22386,4.190861,,4,
-28.931541,4.4135194,,4,
-25.782984,3.4819646,,4,
-15.165665,-1.4432491,,4,
-2.3675213,5.45198,,1,
10.354188,3.0825665,,14,
12.969557,2.1290522,,7,
15.535055,1.1736348,n,7,kneel
15.763482,0.4768162,n,7,kneel
16.123064,0.21192177,n,7,kneel
17.033646,-0.13794523,n,7,kneel
24.276731,0.6449029,n,9,kneel
30.113924,1.6864105,,0,kneel
31.476809,2.4071045,i,0,kneel
31.548782,3.0895305,i,0,kneel
31.065836,2.7969074,i,0,kneel
31.025423,3.5513968,i,0,kneel
31.235308,4.0399466,i,0,kneel
32.118046,3.5278597,i,0,kneel
33.655018,2.6835825,,0,kneel
34.451454,1.9860004,l,0,kneel
35.508785,0.8631529,l,11,kneel
37.087875,-0.7611057,l,11,kneel
36.45449,-1.7652873,l,11,kneel
22.448097,2.359945,l,13,kneel
20.789291,2.7170615,l,13,kneel
18.810122,3.159875,l,12,kneel
17.644436,3.6138604,l,12,kneel
16.799921,3.8655663,,12,
15.964945,4.1643543,,12,
14.856764,4.293903,,12,
13.967503,4.3676867,,14,
5.2562766,0.30892625,,14,
3.1143386,-0.400425,,8,
1.6731917,-0.34471166,,8,
-1.5473659,-0.3046183,,8,
-8.557526,1.0815309,,4,
-8.821289,0.9264752,,4,
-28.341768,-4.268259,,4,
-30.427757,0.649558,,4,
-27.011538,1.9077578,,4,
-31.717001,-2.512925,,4,
-34.22145,-2.1548886,,4,
-33.506966,0.8569304,,4,
-33.78333,1.5395882,,4,
